customer_id,account_age_days,subscription_tier,monthly_revenue,logins_per_month,feature_usage_depth,support_tickets,avg_ticket_resolution_days,nps_score,payment_delays,contract_length_months,team_size,api_calls_per_month,days_since_last_login,churned,snapshot_dat
CUST_000000,171,Professional,159.80984099514572,18,0.35350189773574847,3,4.251494815745742,1,0,6,19,9924,15,0,2025-12-24
CUST_000001,1098,Professional,229.2995884489391,22,0.372679891783332,4,5.932602333789178,9,0,1,8,2987,2,0,2025-12-24
CUST_000002,480,Professional,265.31402378641013,19,0.060357229567312286,4,4.1948806589182634,7,0,6,6,15,6,0,2025-12-24
CUST_000003,333,Starter,25.46168647409519,20,0.3531688888455737,3,4.953747853327907,6,1,1,0,657,14,0,2025-12-24
CUST_000004,61,Professional,285.61538641834613,23,0.14075816717112125,2,4.863927107986847,8,1,12,27,393,1,0,2025-12-24
CUST_000005,61,Starter,47.42897931229741,15,0.06331774011559511,0,1.8711705997209553,9,2,1,2,1224,1,0,2025-12-24
CUST_000006,30,Enterprise,353.74679225922284,22,0.12284129757703113,1,1.4684912244987103,7,0,12,1,24,6,0,2025-12-24
CUST_000007,734,Starter,65.15509560416366,16,0.4056634022091322,3,1.5615671086398784,5,0,6,8,1100,8,0,2025-12-24
CUST_000008,335,Starter,41.07091043489904,21,0.2360423013915617,2,2.9321002586104434,5,0,1,3,132,2,0,2025-12-24
CUST_000009,449,Starter,48.36526647937011,22,0.38154149247909525,5,3.761853118981799,4,2,24,9,12,14,0,2025-12-24
CUST_000010,30,Starter,41.91443511575842,16,0.514951928697644,1,2.0061805493141636,7,0,1,1,156,9,1,2025-12-24
CUST_000011,1278,Starter,33.665241362702,13,0.3656673685739992,4,1.1927493401203442,6,1,24,5,5787,10,0,2025-12-24
CUST_000012,652,Starter,64.47994064803808,21,0.21527896591596518,6,2.151157329205326,6,0,1,4,1033,6,0,2025-12-24
CUST_000013,87,Professional,185.68492985529065,18,0.3146818964782203,3,7.10264642413302,7,1,6,12,647,18,0,2025-12-24
CUST_000014,73,Starter,21.26696415641508,14,0.022768356381146045,2,3.080673952793761,7,0,12,3,58,1,0,2025-12-24
CUST_000015,73,Enterprise,582.6590186323899,28,0.3863328765707534,2,0.5025486450072759,3,1,12,10,59,5,0,2025-12-24
CUST_000016,132,Enterprise,319.1626473464367,23,0.2789040973119836,0,5.382788597598042,6,2,12,1,4807,2,0,2025-12-24
CUST_000017,271,Professional,142.33699136623707,16,0.29268095978299935,0,2.057011551582464,0,0,1,15,20,17,0,2025-12-24
CUST_000018,206,Enterprise,678.8909307465974,11,0.1677948754822763,1,2.543922677595603,9,1,1,18,467,19,0,2025-12-24
CUST_000019,125,Professional,140.18300503948942,19,0.2628667332556727,2,5.154530284236835,4,2,1,9,53,1,0,2025-12-24
CUST_000020,345,Professional,84.17775715362548,19,0.3305294050108002,2,0.8681873650475893,10,0,1,4,843,4,0,2025-12-24
CUST_000021,54,Enterprise,593.4292227442244,22,0.2687181441963335,0,5.979547751419677,9,0,12,35,21,4,0,2025-12-24
CUST_000022,126,Starter,43.922731410377395,18,0.318858329161568,0,0.8406216698240809,8,1,1,2,231,3,0,2025-12-24
CUST_000023,166,Enterprise,467.3517318292825,23,0.27668801852433117,3,4.379625324138389,5,0,24,14,1029,7,0,2025-12-24
CUST_000024,222,Starter,43.709992132996,24,0.6813012520282408,1,0.5550596106931857,0,0,12,17,1071,6,0,2025-12-24
CUST_000025,561,Professional,211.58349695093634,15,0.1672195961629757,1,0.6332823655994916,6,0,6,1,254,26,1,2025-12-24
CUST_000026,81,Starter,34.94561516193864,16,0.3470643015315362,1,2.3466445580686686,7,0,1,9,593,3,0,2025-12-24
CUST_000027,263,Starter,79.52229749131529,28,0.43368038922769286,0,0.7038238143244377,8,0,1,9,1159,28,0,2025-12-24
CUST_000028,327,Starter,20.47539039381203,16,0.17244594728414536,4,1.6877048004559878,0,0,1,0,1013,3,0,2025-12-24
CUST_000029,30,Starter,58.89749833354246,21,0.258833003449704,2,0.6238057702000254,7,0,1,0,3456,5,0,2025-12-24
CUST_000030,341,Enterprise,596.3181505814875,12,0.3822876661689494,3,1.951477602539132,8,1,1,1,189,4,0,2025-12-24
CUST_000031,68,Starter,34.80696478333244,13,0.10554679203165596,4,1.5967117195511398,6,0,1,3,1126,11,0,2025-12-24
CUST_000032,30,Starter,29.525311094443634,20,0.3839294198348076,2,1.5220346955114616,6,0,12,7,137,4,0,2025-12-24
CUST_000033,1085,Starter,70.34348428340313,19,0.09827783420022701,2,2.833967353919539,9,2,12,5,245,7,0,2025-12-24
CUST_000034,1230,Starter,30.1827849196657,21,0.6764013094775502,4,2.4023809521050126,6,0,1,8,153,0,0,2025-12-24
CUST_000035,603,Professional,169.66680296247165,16,0.156381351925257,3,0.6429210913089249,8,1,1,5,19,13,0,2025-12-24
CUST_000036,132,Starter,67.74617924919492,21,0.16173694285168722,2,3.717392527487546,9,0,12,1,718,5,0,2025-12-24
CUST_000037,37,Professional,201.7370616769512,18,0.21138606931350667,1,3.974092434904861,9,0,6,7,43467,11,0,2025-12-24
CUST_000038,420,Starter,14.05712664741791,25,0.5171434674640538,3,0.8154131528625784,8,0,1,4,312,14,0,2025-12-24
CUST_000039,211,Enterprise,762.0588716830271,19,0.44385147667680913,2,1.7392316047639205,2,0,12,7,39,10,0,2025-12-24
CUST_000040,47,Starter,39.39978482440068,27,0.25284992185404304,4,1.3916778816521496,8,2,6,4,918,16,0,2025-12-24
CUST_000041,249,Enterprise,439.58640651403744,16,0.11812352421912069,2,1.1870443189120163,0,1,6,12,7348,24,0,2025-12-24
CUST_000042,30,Professional,212.78921261631825,18,0.2350378926615911,1,6.683663993275967,8,1,12,12,687,4,0,2025-12-24
CUST_000043,876,Starter,62.50153594008145,18,0.5400527572157345,1,5.24929207596594,6,0,6,2,652,4,0,2025-12-24
CUST_000044,109,Starter,89.22208582582934,25,0.16665866538334215,1,2.692047326714887,5,1,1,3,4161,7,0,2025-12-24
CUST_000045,396,Starter,16.798637011886072,28,0.2391625819778954,4,2.4008720463676614,10,0,1,1,86,13,0,2025-12-24
CUST_000046,136,Professional,241.29761044629728,26,0.1645973238071734,1,1.7636963362988076,10,0,12,46,3221,18,0,2025-12-24
CUST_000047,267,Enterprise,611.4514541075116,16,0.2950470214768636,2,2.283948547988282,5,0,12,2,277,6,0,2025-12-24
CUST_000048,288,Starter,47.256701782517666,13,0.06875890658606061,0,1.3438355450859842,7,0,1,2,83,16,0,2025-12-24
CUST_000049,74,Starter,65.74547389632444,19,0.6094701007329897,1,0.27112284593121827,6,0,6,2,553,12,1,2025-12-24
CUST_000050,1274,Starter,68.68548035273093,23,0.5270860754768251,1,4.201587962975726,2,0,6,1,115,2,0,2025-12-24
CUST_000051,544,Professional,130.90186075064977,26,0.23497633684641808,3,4.9269449826000935,6,0,1,13,245,17,0,2025-12-24
CUST_000052,1023,Starter,84.9953301176166,28,0.0495941941160546,3,4.189943610438276,8,0,6,5,1623,10,0,2025-12-24
CUST_000053,822,Professional,122.0618873430929,19,0.22247016469651787,3,1.7183740507712835,2,0,24,3,143,17,0,2025-12-24
CUST_000054,332,Starter,27.293674375224537,18,0.08562117568170968,2,4.648595086358529,5,0,6,0,73,0,0,2025-12-24
CUST_000055,930,Professional,186.91061631879518,23,0.17330510834796517,3,3.7968237699269114,2,0,6,6,198,3,0,2025-12-24
CUST_000056,33,Professional,296.24702565935286,20,0.06903714761235193,2,3.640169092551626,2,0,24,1,547,20,0,2025-12-24
CUST_000057,79,Starter,43.83486740493227,21,0.1475674672228591,1,10.997842839842768,1,2,1,4,167,5,0,2025-12-24
CUST_000058,30,Starter,49.361322198983785,24,0.15873786082809802,2,1.964235940594451,6,0,6,3,264,37,0,2025-12-24
CUST_000059,143,Professional,271.60393019522814,18,0.0854867091689683,3,4.323715208601541,8,0,1,16,6518,10,0,2025-12-24
CUST_000060,179,Professional,184.98409287172638,17,0.1091628332021577,2,4.861084520548863,6,0,24,9,2378,3,0,2025-12-24
CUST_000061,115,Enterprise,323.2344930603987,12,0.21873408639369046,1,4.483001470641186,5,0,1,12,83,0,0,2025-12-24
CUST_000062,644,Starter,41.65530329523371,18,0.3648015973534561,2,1.814652711488876,8,1,12,1,819,15,0,2025-12-24
CUST_000063,161,Professional,268.5395916902889,15,0.38996928932045916,2,10.923888170248773,5,0,6,10,7865,9,0,2025-12-24
CUST_000064,120,Enterprise,510.6297495582705,11,0.4078729574398653,2,9.03004308963353,1,0,24,9,166,0,0,2025-12-24
CUST_000065,285,Starter,88.6131651811252,21,0.5806122105054636,2,2.9024064512515606,0,1,6,5,60,2,0,2025-12-24
CUST_000066,55,Starter,64.7586985252431,25,0.20892032423852122,2,1.0183615769779106,9,2,6,3,62,1,0,2025-12-24
CUST_000067,591,Starter,37.10382127213033,14,0.5975840662501042,0,0.6552261834704858,0,0,6,6,36,31,0,2025-12-24
CUST_000068,30,Starter,51.02152608930157,9,0.42678457205703024,3,4.620470471449609,5,1,1,1,790,25,0,2025-12-24
CUST_000069,1581,Starter,32.93563763716241,20,0.15653697607453546,3,7.484544934792543,6,0,24,7,95,0,0,2025-12-24
CUST_000070,540,Starter,36.631339387024596,24,0.25221659536371915,4,3.0707939673442204,5,0,6,6,960,13,0,2025-12-24
CUST_000071,80,Starter,139.58168502051512,21,0.09455723690188979,4,3.812395948388578,9,0,1,14,1321,10,1,2025-12-24
